relative path	file type	size	ownership classification	generated/vendor/cache/source status	responsible subsystem	audit status	action taken	validation status	notes
.git/objects/ee	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/ef	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/f0	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/f1	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/f2	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/f3	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/f4	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/f5	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/f8	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/fa	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/fb	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/fd	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/fe	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/ff	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/info	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/objects/pack	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/refs	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/refs/heads	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/refs/heads/codex	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.git/refs/tags	directory	4096	tool-owned	generated metadata	version control	excluded	inventory only	not applicable	Git internal; not editable source
.gitignore	file	292	project-owned	source	.gitignore	pending	none yet	pending	reviewable project file
.venv_voice	symlink	32	project-owned	integration link	.venv_voice	pending	none yet	pending	symlink target is external; target not traversed
ACCELERATE_SAVANT_WORKFLOW_NOW.sh	text/x-sh	15535	project-owned	source	ACCELERATE_SAVANT_WORKFLOW_NOW.sh	pending	none yet	pending	reviewable project file
ANALYZE_IMPORTED_DUMP.sh	text/x-sh	2838	project-owned	source	ANALYZE_IMPORTED_DUMP.sh	pending	none yet	pending	reviewable project file
BUILD_DEPENDENCY_AWARE_REFACTOR_ENGINE.sh	text/x-sh	4432	project-owned	source	BUILD_DEPENDENCY_AWARE_REFACTOR_ENGINE.sh	pending	none yet	pending	reviewable project file
BUILD_REFACTOR_ENGINE_SIMULATOR.sh	text/x-sh	4076	project-owned	source	BUILD_REFACTOR_ENGINE_SIMULATOR.sh	pending	none yet	pending	reviewable project file
BUILD_RUNTIME_MAP_FROM_CLEAN_PARSE.sh	text/x-sh	4060	project-owned	source	BUILD_RUNTIME_MAP_FROM_CLEAN_PARSE.sh	pending	none yet	pending	reviewable project file
BUILD_SAVANT_FS_COMPILER_GRAPH_DB.sh	text/x-sh	5831	project-owned	source	BUILD_SAVANT_FS_COMPILER_GRAPH_DB.sh	pending	none yet	pending	reviewable project file
BUILD_SAVANT_FS_COMPILER_PASS_01.sh	text/x-sh	2829	project-owned	source	BUILD_SAVANT_FS_COMPILER_PASS_01.sh	pending	none yet	pending	reviewable project file
BUILD_SAVANT_FS_COMPILER_PASS_02.sh	text/x-sh	7646	project-owned	source	BUILD_SAVANT_FS_COMPILER_PASS_02.sh	pending	none yet	pending	reviewable project file
BUILD_SAVANT_FS_COMPILER_PASS_03.sh	text/x-sh	2843	project-owned	source	BUILD_SAVANT_FS_COMPILER_PASS_03.sh	pending	none yet	pending	reviewable project file
BUILD_SAVANT_FS_COMPILER_PASS_04.sh	text/x-sh	2282	project-owned	source	BUILD_SAVANT_FS_COMPILER_PASS_04.sh	pending	none yet	pending	reviewable project file
BUILD_SAVANT_FS_COMPILER_PASS_05.sh	text/x-sh	2146	project-owned	source	BUILD_SAVANT_FS_COMPILER_PASS_05.sh	pending	none yet	pending	reviewable project file
BUILD_SAVANT_FS_COMPILER_PASS_06_PY_IMPORTS.sh	text/x-sh	4495	project-owned	source	BUILD_SAVANT_FS_COMPILER_PASS_06_PY_IMPORTS.sh	pending	none yet	pending	reviewable project file
BUILD_SAVANT_FS_COMPILER_PASS_07_SHELL_DEPS.sh	text/x-sh	4135	project-owned	source	BUILD_SAVANT_FS_COMPILER_PASS_07_SHELL_DEPS.sh	pending	none yet	pending	reviewable project file
BUILD_SAVANT_FS_COMPILER_PASS_08_RUNTIME_LAUNCHERS.sh	text/x-sh	2982	project-owned	source	BUILD_SAVANT_FS_COMPILER_PASS_08_RUNTIME_LAUNCHERS.sh	pending	none yet	pending	reviewable project file
BUILD_SAVANT_FS_COMPILER_PASS_09_SYMLINKS.sh	text/x-sh	1669	project-owned	source	BUILD_SAVANT_FS_COMPILER_PASS_09_SYMLINKS.sh	pending	none yet	pending	reviewable project file
BUILD_SAVANT_FS_COMPILER_PASS_10_DUPLICATES.sh	text/x-sh	1471	project-owned	source	BUILD_SAVANT_FS_COMPILER_PASS_10_DUPLICATES.sh	pending	none yet	pending	reviewable project file
BUILD_SAVANT_FS_COMPILER_PASS_11_CANONICAL_PATHS.sh	text/x-sh	3235	project-owned	source	BUILD_SAVANT_FS_COMPILER_PASS_11_CANONICAL_PATHS.sh	pending	none yet	pending	reviewable project file
BUILD_SAVANT_FS_COMPILER_PASS_12_MOVE_CANDIDATES.sh	text/x-sh	4008	project-owned	source	BUILD_SAVANT_FS_COMPILER_PASS_12_MOVE_CANDIDATES.sh	pending	none yet	pending	reviewable project file
BUILD_SAVANT_FS_COMPILER_PASS_13_SIMULATE_MOVES.sh	text/x-sh	2135	project-owned	source	BUILD_SAVANT_FS_COMPILER_PASS_13_SIMULATE_MOVES.sh	pending	none yet	pending	reviewable project file
BUILD_SAVANT_FS_COMPILER_PASS_14_VALIDATE_SIMULATION.sh	text/x-sh	3140	project-owned	source	BUILD_SAVANT_FS_COMPILER_PASS_14_VALIDATE_SIMULATION.sh	pending	none yet	pending	reviewable project file
BUILD_SAVANT_FS_COMPILER_PASS_15_EXECUTION_PLAN.sh	text/x-sh	1666	project-owned	source	BUILD_SAVANT_FS_COMPILER_PASS_15_EXECUTION_PLAN.sh	pending	none yet	pending	reviewable project file
BUILD_SAVANT_FS_COMPILER_PASS_16_TEXT_CONFIG_REFS.sh	text/x-sh	4188	project-owned	source	BUILD_SAVANT_FS_COMPILER_PASS_16_TEXT_CONFIG_REFS.sh	pending	none yet	pending	reviewable project file
BUILD_SAVANT_FS_COMPILER_PASS_17_COMPILE_AUDIT.sh	text/x-sh	3034	project-owned	source	BUILD_SAVANT_FS_COMPILER_PASS_17_COMPILE_AUDIT.sh	pending	none yet	pending	reviewable project file
BUILD_SAVANT_FS_COMPILER_PASS_18_HARD_SAFETY_GATE.sh	text/x-sh	3520	project-owned	source	BUILD_SAVANT_FS_COMPILER_PASS_18_HARD_SAFETY_GATE.sh	pending	none yet	pending	reviewable project file
BUILD_SCOPE_MOVE_REWRITE_PLAN.sh	text/x-sh	2890	project-owned	source	BUILD_SCOPE_MOVE_REWRITE_PLAN.sh	pending	none yet	pending	reviewable project file
CHECK_PALAVER_STACK.sh	text/x-sh	1163	project-owned	source	CHECK_PALAVER_STACK.sh	pending	none yet	pending	reviewable project file
CLASSIFY_SCOPE_OBJECTS.sh	text/x-sh	8140	project-owned	source	CLASSIFY_SCOPE_OBJECTS.sh	pending	none yet	pending	reviewable project file
CREATE_AUTHORITY_DB.sh	text/x-sh	3508	project-owned	source	CREATE_AUTHORITY_DB.sh	pending	none yet	pending	reviewable project file
